pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_met
11 Com b,11 Com,1,2,1,Radial Velocity,2007,323.21,1.178,,4914.898486,,4874,-0.26
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,516.21997,1.53,,4684.8142,,4213,-0.02
14 And b,14 And,1,1,1,Radial Velocity,2008,186.76,0.775,,1131.151301,,4888,-0.21
14 Her b,14 Her,1,1,2,Radial Velocity,2002,1765.0389,2.774,,2559.472162,,,
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,798.5,1.66,,565.7374,,5750,0.06
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,578.38,1.45,,1373.018718,,4157,-0.01
18 Del b,18 Del,1,2,1,Radial Velocity,2008,982.85,2.476,,2926.246143,,4980,-0.06
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,,330,,3000,1700,4060,
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,30.33,0.194,,280.6424834,,4816,-0.78
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,452.8,1.333,,632.46,,5098,-0.03
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,883,2.08,,273.32,,5098,-0.03
2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,,118,,1271.313628,1450,3100,0.01
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,,84,,4131.79,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,,52,,7786.5,,3530,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,,156,16.14096,4417.837,,3064,
2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,Imaging,2018,,1950,,3686.809521,,,
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,Imaging,2024,,572,,5720.911326,2369,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,,15,,2383.6,,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,Imaging,2024,,266,,8899.195396,2677,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,Imaging,2024,,587,,6356.56814,2506,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,,55,,1589.15,1250,,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,406,,,591.160837,,29564,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,Imaging,2024,,7493,,3813.940884,1616,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,,230,,3972.875,,4045,
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,1,Imaging,2018,,518,,9534.85221,1600,,
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,270.27,0.877,,2511.480072,,4415,-0.25
47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,1078,2.1,,804.08,,5872,0.04
47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,2391,3.6,,171.621,,5872,0.04
47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,14002,11.6,,521.22,,5872,0.04
51 Eri b,51 Eri,1,3,1,Imaging,2015,9100,10.4,,3464.329636,,,
51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,4.230785,0.0527,,150.009,,5758,0.18
55 Cnc B b,55 Cnc B,1,2,7,Radial Velocity,2025,6.7994,0.044,,3.5,,3286,0.16
55 Cnc B c,55 Cnc B,1,2,7,Radial Velocity,2025,33.747,0.13,,5.3,,3286,0.16
55 Cnc b,55 Cnc,1,2,7,Radial Velocity,1996,14.651552,0.118,,276,,5198,0.39
55 Cnc c,55 Cnc,1,2,7,Radial Velocity,2004,44.3936,0.247,,56.6,,5198,0.39
55 Cnc d,55 Cnc,1,2,7,Radial Velocity,2002,4799,5.6,,1214.104515,,5198,0.39
55 Cnc e,55 Cnc,1,2,7,Radial Velocity,2004,0.7365474,0.01544,1.875,7.99,,5172,0.35
55 Cnc f,55 Cnc,1,2,7,Radial Velocity,2007,260.58,0.802,,48.5,,5198,0.39
6 Lyn b,6 Lyn,1,1,1,Radial Velocity,2008,919.86,2.028,,597.8352336,,4941,-0.17
61 Vir b,61 Vir,1,1,3,Radial Velocity,2009,4.215,0.050201,,5.1,,5577,-0.01
61 Vir c,61 Vir,1,1,3,Radial Velocity,2009,38.021,0.2175,,18.2,,5577,-0.01
61 Vir d,61 Vir,1,1,3,Radial Velocity,2009,123.01,0.476,,22.9,,5577,-0.01
7 CMa b,7 CMa,1,1,2,Radial Velocity,2011,735.1,1.758,,587.9855,,4826,0.21
7 CMa c,7 CMa,1,1,2,Radial Velocity,2019,996,2.153,,276.5121,,4826,0.21
70 Vir b,70 Vir,1,1,1,Radial Velocity,1996,116.688,0.481,,2357.02728,,5495,
75 Cet b,75 Cet,1,2,2,Radial Velocity,2012,696.62,1.912,,787.896621,,4809,0.1
75 Cet c,75 Cet,1,2,2,Radial Velocity,2023,2051.62,3.929,,289.8595072,,4809,0.1
8 UMi b,8 UMi,1,1,1,Radial Velocity,2015,93.31,0.462,,524.4168716,,4847,-0.03
81 Cet b,81 Cet,1,1,1,Radial Velocity,2008,1005.57,2.104,,1051.058542,,4734,-0.11
91 Aqr b,91 Aqr,1,3,1,Radial Velocity,2013,181.4,0.7,,1017,,4665,-0.03
AB Aur b,AB Aur,1,1,1,Imaging,2022,,93.9,,2860.455663,,9770,
AB Pic b,AB Pic,1,1,1,Imaging,2005,,260,,4290.5,,,
AF Lep b,AF Lep,1,1,1,Imaging,2023,8905,8.996,,1147.360549,,,
AT2021ueyL b,AT2021ueyL,1,1,1,Microlensing,2025,4168.69,4.01,,425.8900654,,3680,
AU Mic b,AU Mic,1,1,4,Transit,2020,8.46308,0.0649,3.95677019,,600,3678,0.23
AU Mic c,AU Mic,1,1,4,Transit,2021,18.85969,0.1108,2.52202066,,459,3678,0.23
AU Mic d,AU Mic,1,1,4,Transit Timing Variations,2023,12.73596,,,1.053,,3678,0.23
AU Mic e,AU Mic,1,1,4,Radial Velocity,2025,33.11,,,21.1,,3665,0.12
BD+03 2562 b,BD+03 2562,1,1,1,Radial Velocity,2017,481.9,1.3,,2034.112,,4095,-0.71
BD+05 4868 A b,BD+05 4868 A,1,2,1,Transit,2025,1.271869,0.0208,,6.2,1820,4596,-0.05
BD+14 4559 b,BD+14 4559,1,1,1,Radial Velocity,2009,268.94,0.78,,330.5432,,4864,0.17
BD+15 2375 b,BD+15 2375,1,1,1,Radial Velocity,2016,153.22,0.576,,337.21763,,4649,-0.22
BD+15 2940 b,BD+15 2940,1,1,1,Radial Velocity,2013,137.48,0.539,,352.78,,4796,0.28
BD+20 2457 b,BD+20 2457,1,1,2,Radial Velocity,2009,379.63,1.45,,6807.63,,4137,-1
BD+20 2457 c,BD+20 2457,1,1,2,Radial Velocity,2009,621.99,2.01,,3963.17,,4137,-1
BD+20 274 b,BD+20 274,1,1,1,Radial Velocity,2012,578.2,1.3,,1334.886,,4296,-0.46
BD+20 594 b,BD+20 594,1,1,1,Transit,2016,41.6855,,2.57807,22.2481,,5766,-0.15
BD+37 3172 b,BD+37 3172,1,1,1,Radial Velocity,2023,1887.76,4.65,,3368.981114,,4500,-0.03
BD+42 2315 b,BD+42 2315,1,1,1,Radial Velocity,2023,123.05,0.54,,174.8056239,,4500,-0.2
BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,307.88,0.83,,432.2466335,,5004,-0.09
BD+48 738 b,BD+48 738,1,1,1,Radial Velocity,2011,392.6,1,,289.2253,,4414,-0.2
BD+48 740 b,BD+48 740,1,1,1,Radial Velocity,2018,733,1.7,,540.311,,4534,-0.13
BD+49 828 b,BD+49 828,1,1,1,Radial Velocity,2015,2590,4.2,,508.5,,4943,-0.19
BD+55 362 b,BD+55 362,1,1,1,Radial Velocity,2021,265.59,0.78,,228.836453,,5012,0.18
BD+60 1417 b,BD+60 1417,1,1,1,Imaging,2021,,1662,14.68376472,4767.426105,1303,4993,
BD+63 1405 b,BD+63 1405,1,1,1,Radial Velocity,2021,1198.48,2.06,,1258.600492,,5000,-0.09
BD-06 1339 b,BD-06 1339,1,1,2,Radial Velocity,2013,3.8728,0.0428,,8.5,,4324,-0.14
BD-06 1339 c,BD-06 1339,1,1,2,Radial Velocity,2013,125.94,0.435,,53,,4324,-0.14
BD-08 2823 b,BD-08 2823,1,1,2,Radial Velocity,2009,5.6,0.06,,12.7132,,4816,-0.06
BD-08 2823 c,BD-08 2823,1,1,2,Radial Velocity,2009,237.6,0.68,,104,,4746,-0.07
BD-10 3166 b,BD-10 3166,1,1,1,Radial Velocity,2000,3.48777,0.04,,187.5197,,5393,0.38
BD-11 4672 b,BD-11 4672,1,1,2,Radial Velocity,2014,1634,2.36,,206.5895,,4550,-0.35
BD-11 4672 c,BD-11 4672,1,1,2,Radial Velocity,2020,74.2,0.3,,15.37,,4550,-0.35
BD-13 2130 b,BD-13 2130,1,1,1,Radial Velocity,2007,714.29999,1.66,,3108.3774,,4545,-0.08
BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,2024,4.2889731,0.0656,21.59,3932,2001,6935,-0.34
BD-17 63 b,BD-17 63,1,1,1,Radial Velocity,2008,655.57,,,1639.99458,,,
BD-210397 b,BD-210397,1,1,2,Radial Velocity,2023,1891,2.63,,214,,4051,0.12
BD-210397 c,BD-210397,1,1,2,Radial Velocity,2023,6240,5.9,,1525.576354,,,
BEBOP-3 b,BEBOP-3,1,2,1,Radial Velocity,2025,547,1.444,,177.3482511,,6033,-0.02
BEBOP-4 AB b,BEBOP-4 A,1,2,1,Radial Velocity,2025,1823.5,3.634,,8358.887104,,,
Barnard b,Barnard's star,1,1,4,Radial Velocity,2024,3.1542,0.0229,,0.299,438,3195,-0.56
Barnard c,Barnard's star,1,1,4,Radial Velocity,2025,4.1244,0.0274,,0.335,400,3195,-0.56
Barnard d,Barnard's star,1,1,4,Radial Velocity,2025,2.3402,0.0188,,0.263,483,3195,-0.56
Barnard e,Barnard's star,1,1,4,Radial Velocity,2025,6.7392,0.0381,,0.193,340,3195,-0.56
CD Cet b,CD Cet,1,1,1,Radial Velocity,2020,2.2907,0.0185,,3.95,464,3130,0.13
CD-35 2722 b,CD-35 2722,1,1,1,Imaging,2011,,67,17.37392009,9375.938007,,3689,-0.16
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,1,Imaging,2011,10037.5,2.6,,3337.1,370,580.5,
